RK,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
330,Javonte Green, SF,CHI,32,15,0.565,0.667,0.4,2.8,0.7,0.8,0.7,0.6,5.2,10.9
331,Duane Washington Jr., PG,NYK,31,12.7,0.367,0.667,1.3,1.2,2,0.2,0.1,1.1,7.9,10.9
332,Goga Bitadze, C,ORL,38,12,0.552,0.548,0.2,3.6,1,0.4,0.7,0.6,4.4,10.9
333,Kevin Knox II, SF,POR,63,15.1,0.458,0.767,1,2.8,0.5,0.4,0.2,0.8,6.6,10.9
334,Chuma Okeke, PF,ORL,27,19.2,0.352,0.762,1,3.6,1.4,0.7,0.4,0.6,4.7,10.8
335,Darius Bazley, PF,PHO,43,14.3,0.454,0.543,0.5,3.2,0.9,0.5,0.8,0.6,5.2,10.8
336,Thaddeus Young, PF,TOR,54,14.7,0.545,0.692,0.1,3.1,1.4,1,0.1,0.8,4.4,10.7
337,Kendrick Nunn, G,WAS,70,13.8,0.424,0.854,1.1,1.6,1.3,0.4,0.1,0.9,7.1,10.7
338,Blake Griffin, PF,BOS,41,13.9,0.485,0.656,0.6,3.8,1.5,0.3,0.2,0.5,4.1,10.7
339,Dewayne Dedmon, C,PHI,38,11.2,0.51,0.673,0.3,3.5,0.7,0.2,0.5,0.7,5.2,10.7
340,Cody Martin, SF,CHA,7,19.1,0.389,0.571,0.4,3.4,1.6,0.6,0.1,0.3,5,10.7
341,Jamal Cain, F,MIA,18,13.3,0.561,0.773,0.4,2.9,0.7,0.6,0.1,0.3,5.4,10.7
342,Jericho Sims, C,NYK,52,15.6,0.776,0.75,0,4.7,0.5,0.3,0.5,0.5,3.4,10.7
343,Chance Comanche, C,POR,1,21,0.6,0.25,0,3,0,0,1,0,7,10.7
344,Oshae Brissett, SF,IND,65,16.7,0.386,0.717,0.7,3.4,0.7,0.5,0.2,0.5,6.1,10.6
345,Montrezl Harrell, C,PHI,57,11.9,0.598,0.693,0,2.8,0.6,0.3,0.4,0.6,5.6,10.6
346,Paul Reed, SF,PHI,69,10.9,0.593,0.745,0,3.8,0.4,0.7,0.7,0.7,4.2,10.5
347,Yuta Watanabe, SF,BKN,58,16,0.491,0.723,1,2.4,0.8,0.4,0.3,0.4,5.6,10.5
348,Dean Wade, PF,CLE,44,20.3,0.412,0.652,1,3.4,0.8,0.6,0.5,0.4,4.7,10.5
349,Dyson Daniels, G,NOR,59,17.7,0.418,0.65,0.5,3.2,2.3,0.7,0.2,1,3.8,10.5
350,Luka Garza, C,MIN,28,8.7,0.543,0.788,0.5,2.3,0.6,0.1,0.1,0.5,6.5,10.5
351,Jordan McLaughlin, PG,MIN,43,15.8,0.421,0.833,0.6,1.4,3.4,0.7,0.1,0.8,3.7,10.5
352,R.J. Hampton, PG,DET,47,16,0.43,0.75,0.9,1.9,1.1,0.6,0.2,0.9,6.4,10.4
353,Dominick Barlow, F,SAS,28,14.6,0.535,0.72,0,3.6,0.9,0.4,0.7,0.5,3.9,10.2
354,Lamar Stevens, F,CLE,62,18.1,0.448,0.702,0.5,3.3,0.5,0.4,0.3,0.4,5.3,10.1
355,Chimezie Metu, PF,SAC,66,10.4,0.589,0.74,0.1,3,0.6,0.3,0.3,0.5,4.9,10.1
356,Rodney McGruder, G,DET,32,16.4,0.408,0.818,1.3,2.3,0.9,0.5,0,0.3,5.7,9.9
357,Vlatko Cancar, SF,DEN,60,14.8,0.476,0.927,0.7,2.1,1.3,0.4,0.2,0.6,5,9.9
358,Quenton Jackson, G,WAS,9,15,0.452,0.773,0.1,0.9,1.7,0.4,0.1,0.4,6.2,9.9
359,Orlando Robinson, C,MIA,31,13.7,0.528,0.71,0,4.1,0.8,0.4,0.4,0.5,3.7,9.9
